,Run Failed/Stopped Early,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth,Rec. LengthRatio,Rec. Levenshtein,Rec. WordRank,Rec. DepTreeDepth
70,TRUE,1.97,18.8,0,11.738,8.086,4000,256,9,0.01293478138,FALSE,0.5863802681,4.18E-06,fixed,100,5000,adam,0.8069665595,0.2431150946,0.405164108,0.08475260032,,,,
84,TRUE,0.8,18.79,0,13.009,7.851,4000,256,5,0.0008636198941,FALSE,0.8358006073,0.0005239137465,fixed,100,5000,adam,0.9395059232,0.08960471692,0.4224584835,0.2372264901,,,,
11,TRUE,0.36,18.78,2.96,13.929,8.139,4000,256,6,0.07945699424,FALSE,0.9453683135,6.17E-06,fixed,100,5000,adam,0.03849078924,0.7198038372,0.2789579844,0.5382921406,,,,
1,TRUE,0.36,18.77,3.31,13.339,13.325,4000,256,7,0.9209105571,FALSE,0.04554649756,9.09E-06,fixed,100,5000,adam,0.06576091379,0.6225938875,0.1580123639,0.1993191886,,,,
26,TRUE,0.49,18.67,0.18,13.181,8.687,4000,256,7,0.1546978686,FALSE,0.8172193825,2.23E-05,fixed,100,5000,adam,0.07257159559,0.8310824655,0.3711472808,0.1922985078,,,,
27,TRUE,1.49,18.54,0,11.935,11.634,4000,256,7,0.6730079654,FALSE,0.1412718424,8.38E-05,fixed,100,5000,adam,0.4460419265,0.1524290125,0.9585118037,0.4929969325,,,,
44,TRUE,0.35,18.52,2.05,13.458,12.135,4000,256,7,0.7215403668,FALSE,0.8377230318,3.50E-05,fixed,100,5000,adam,0.04335542313,0.8146906471,0.6481437242,0.2187952371,,,,
97,TRUE,0.55,18.46,0,13.335,12.405,4000,256,9,0.7398960273,FALSE,0.7176866311,8.36E-06,fixed,100,5000,adam,0.6239229112,0.05356895667,0.4851557365,0.3055254735,,,,
45,TRUE,0.86,18.45,0,12.984,10.724,4000,256,7,0.6027104141,FALSE,0.7314203915,7.29E-05,fixed,100,5000,adam,0.583328468,0.06746521813,0.7293980018,0.4176421707,,,,
56,TRUE,0.33,18.41,2.98,13.364,12.576,4000,256,10,0.8476082484,FALSE,0.7503716863,0.0009232668115,fixed,100,5000,adam,0.8913481178,0.747085398,0.2711359305,0.9617850028,,,,
62,TRUE,0.49,18.27,0,12.199,11.571,4000,256,2,0.6712355456,FALSE,0.2860324441,5.17E-05,fixed,100,5000,adam,0.8605255645,0.2547339657,0.2477374359,0.1328330713,,,,
115,TRUE,0.35,18.16,2.48,8.808,8.713,4000,256,6,0.1829364589,FALSE,0.01748234404,1.24E-05,fixed,100,5000,adam,0.9439409296,0.1147745421,0.175723927,0.2796795582,,,,
123,TRUE,0.35,18.16,2.48,8.808,8.713,4000,256,6,0.1829364589,FALSE,0.01748234404,1.24E-05,fixed,100,5000,adam,0.9439409296,0.1147745421,0.175723927,0.2796795582,,,,
25,TRUE,0.38,18.15,2.6,13.256,10.275,4000,256,7,0.5225727813,FALSE,0.8183541498,9.72E-06,fixed,100,5000,adam,0.8908226452,0.02559018819,0.2645554232,0.04012857529,,,,
101,TRUE,0.54,17.98,0,8.295,8.075,4000,256,8,0.2772049421,FALSE,0.03589219004,0.0005572599813,fixed,100,5000,adam,0.9036590255,0.0864912276,0.03940632615,0.8677505923,,,,
43,TRUE,0.53,17.73,1.36,11.023,10.589,4000,256,2,0.5816887554,FALSE,0.1327893027,9.76E-06,fixed,100,5000,adam,0.20918509,0.1524680137,0.9100391637,0.3304377056,,,,
88,TRUE,0.41,17.63,0,13.746,9.991,4000,256,4,0.4876616664,FALSE,0.9502596513,2.73E-05,fixed,100,5000,adam,0.1390946198,0.161641943,0.2618604829,0.3664730142,,,,
74,TRUE,0.62,17.62,0,12.155,10.008,4000,256,9,0.4977684087,FALSE,0.544085341,5.46E-06,fixed,100,5000,adam,0.2900643533,0.1377302688,0.6186624451,0.2823049633,,,,
51,TRUE,0.83,17.51,0,10.673,7.444,4000,256,10,0.009464238732,FALSE,0.4773879517,0.0004279111363,fixed,100,5000,adam,0.3915901674,0.7494252763,0.9396877545,0.7919936671,,,,
